Zip Code,Location,City,Population,People / Sq. Mile,National Rank
65109,"38.545549, -92.276364","Jefferson City, Missouri","36,467",342.04,"#9,275"
64154,"39.281279, -94.626948","Kansas City, Missouri","4,636",340.31,"#9,286"
64157,"39.278370, -94.468821","Kansas City, Missouri","3,199",332.36,"#9,351"
64847,"36.612861, -94.452809","Lanagan, Missouri",426,324.04,"#9,442"
63742,"37.159996, -89.447090","Commerce, Missouri",110,318.47,"#9,495"
64505,"39.841340, -94.843212","Saint Joseph, Missouri","12,587",317.96,"#9,500"
65065,"38.125442, -92.674668","Osage Beach, Missouri","4,909",311.46,"#9,561"
63051,"38.377504, -90.576595","House Springs, Missouri","13,230",305.37,"#9,629"
65049,"38.190890, -92.659383","Lake Ozark, Missouri","4,858",289.73,"#9,808"
63738,"37.089840, -89.957230","Brownwood, Missouri",74,287.61,"#9,832"
64066,"39.137842, -94.135931","Levasy, Missouri",87,283.51,"#9,868"
64830,"37.233824, -94.426557","Alba, Missouri",652,279.07,"#9,921"
64029,"39.004741, -94.214828","Grain Valley, Missouri","8,305",277.31,"#9,945"
64082,"38.862111, -94.408320","Lees Summit, Missouri","5,651",271.31,"#10,013"
63016,"38.353691, -90.643520","Cedar Hill, Missouri","7,829",265.39,"#10,090"
64136,"39.012768, -94.405845","Kansas City, Missouri","1,088",262.85,"#10,121"
63601,"37.817405, -90.555750","Park Hills, Missouri","15,604",261.23,"#10,139"
63025,"38.488576, -90.618449","Eureka, Missouri","11,046",260,"#10,155"
64034,"38.858551, -94.297554","Greenwood, Missouri","5,928",258.66,"#10,170"
65101,"38.495772, -92.134554","Jefferson City, Missouri","28,216",255.77,"#10,219"
64857,"37.247557, -94.428284","Purcell, Missouri",341,254.35,"#10,246"
64874,"36.758998, -94.057784","Wheaton, Missouri",897,248.28,"#10,341"
63090,"38.528786, -91.046750","Washington, Missouri","20,995",246.12,"#10,369"
63038,"38.578335, -90.677814","Glencoe, Missouri","5,066",239.68,"#10,439"
64167,"39.323147, -94.480960","Kansas City, Missouri",409,233.29,"#10,520"
64834,"37.190741, -94.565737","Carl Junction, Missouri","7,175",232.85,"#10,525"
64504,"39.691247, -94.905924","Saint Joseph, Missouri","10,926",232.29,"#10,536"
63701,"37.344600, -89.585921","Cape Girardeau, Missouri","32,331",231.87,"#10,544"
64507,"39.765373, -94.726410","Saint Joseph, Missouri","14,001",229.62,"#10,579"
64146,"38.883038, -94.572741","Kansas City, Missouri","1,327",223.83,"#10,670"
65202,"39.020486, -92.296729","Columbia, Missouri","35,834",223.56,"#10,676"
64024,"39.321594, -94.232325","Excelsior Springs, Missouri","16,144",222.78,"#10,686"
64781,"37.979459, -93.808180","Roscoe, Missouri",84,222.44,"#10,692"
65566,"37.720734, -91.126642","Viburnum, Missouri",915,219.99,"#10,730"
65738,"37.139280, -93.506398","Republic, Missouri","11,259",215.73,"#10,792"
64147,"38.852723, -94.550490","Kansas City, Missouri",743,213.64,"#10,822"
63069,"38.490376, -90.740602","Pacific, Missouri","15,145",209.99,"#10,898"
65616,"36.675370, -93.241170","Branson, Missouri","17,339",209.78,"#10,900"
65619,"37.122246, -93.387471","Brookline, Missouri","4,213",200.57,"#11,062"
63385,"38.793508, -90.857565","Wentzville, Missouri","13,931",200.4,"#11,066"
63084,"38.420539, -91.003545","Union, Missouri","13,864",199.27,"#11,084"
63874,"36.535530, -89.813599","Risco, Missouri",403,196.35,"#11,127"
63028,"38.137919, -90.392182","Festus, Missouri","23,221",194.17,"#11,170"
63401,"39.689938, -91.466239","Hannibal, Missouri","21,891",192.56,"#11,202"
65721,"36.982818, -93.209226","Ozark, Missouri","19,117",190.37,"#11,245"
63089,"38.458837, -90.876712","Villa Ridge, Missouri","5,690",188.88,"#11,271"
64743,"38.663579, -94.214831","East Lynne, Missouri",308,187.09,"#11,321"
64192,"38.955811, -94.523770","Kansas City, Missouri",19,186.17,"#11,348"
64139,"38.954778, -94.404843","Kansas City, Missouri","1,113",182.85,"#11,415"
64058,"39.173856, -94.313560","Independence, Missouri","6,018",182.11,"#11,435"
65624,"36.729951, -93.530340","Cape Fair, Missouri",395,181.93,"#11,437"
64075,"38.999801, -94.145265","Oak Grove, Missouri","9,108",179.58,"#11,489"
63878,"36.505849, -89.818378","Tallapoosa, Missouri",229,178.5,"#11,513"
63039,"38.498535, -90.843833","Gray Summit, Missouri",832,173.73,"#11,630"
64060,"39.370839, -94.363788","Kearney, Missouri","9,645",170.6,"#11,705"
65731,"36.649793, -93.126654","Powersite, Missouri",346,164.71,"#11,837"
65270,"39.413639, -92.394950","Moberly, Missouri","17,299",161.01,"#11,923"
63882,"36.903873, -89.202692","Wyatt, Missouri",530,152.93,"#12,136"
65583,"37.823723, -92.221021","Waynesville, Missouri","14,045",146.5,"#12,282"
65672,"36.561516, -93.219296","Hollister, Missouri","7,803",146.48,"#12,283"
65079,"38.155761, -92.752145","Sunrise Beach, Missouri","4,602",146.3,"#12,289"
63050,"38.254768, -90.577992","Hillsboro, Missouri","13,206",142.94,"#12,397"
65473,"37.705557, -92.157817","Fort Leonard Wood, Missouri","13,666",140.46,"#12,469"
65043,"38.623449, -92.102764","Holts Summit, Missouri","8,948",140.17,"#12,477"
63853,"36.069500, -89.871398","Holland, Missouri",277,139.47,"#12,498"
65301,"38.700559, -93.221159","Sedalia, Missouri","31,839",138.63,"#12,527"
63020,"38.100971, -90.565549","De Soto, Missouri","20,238",135.41,"#12,634"
63472,"40.404428, -91.585849","Wayland, Missouri",511,133.02,"#12,703"
64089,"39.386560, -94.563610","Smithville, Missouri","7,928",131.35,"#12,764"
65327,"38.974790, -93.496799","Emma, Missouri",277,129.99,"#12,816"
64093,"38.792042, -93.730669","Warrensburg, Missouri","24,252",129.65,"#12,827"
64016,"39.119616, -94.215755","Buckner, Missouri","4,077",128.1,"#12,876"
63866,"36.536606, -89.601567","Marston, Missouri",658,127.01,"#12,921"
63077,"38.323466, -90.988544","Saint Clair, Missouri","11,071",124.35,"#13,009"
64836,"37.183178, -94.301684","Carthage, Missouri","21,978",123.95,"#13,021"
64078,"38.702692, -94.458131","Peculiar, Missouri","6,929",122.23,"#13,075"
63820,"36.825082, -89.319944","Anniston, Missouri",301,121.42,"#13,101"
65708,"36.904683, -93.904985","Monett, Missouri","11,325",120.72,"#13,130"
63755,"37.437575, -89.657176","Jackson, Missouri","20,710",119.5,"#13,173"
64163,"39.330217, -94.683162","Kansas City, Missouri",725,119.41,"#13,181"
63857,"36.228668, -90.043386","Kennett, Missouri","13,150",117.65,"#13,255"
63830,"36.132049, -89.689540","Caruthersville, Missouri","7,680",117.39,"#13,262"
63780,"37.195014, -89.519156","Scott City, Missouri","6,524",117.18,"#13,268"
65401,"37.928061, -91.769179","Rolla, Missouri","27,625",114.2,"#13,395"
63379,"39.000905, -90.995709","Troy, Missouri","15,290",112.95,"#13,447"
63660,"37.918223, -90.709860","Mineral Point, Missouri","4,155",112.67,"#13,457"
63640,"37.754123, -90.394240","Farmington, Missouri","22,584",112.29,"#13,469"
63801,"36.902199, -89.598790","Sikeston, Missouri","23,779",111.88,"#13,488"
63362,"38.938117, -90.883811","Moscow Mills, Missouri","4,380",107.19,"#13,703"
64701,"38.624513, -94.329255","Harrisonville, Missouri","13,351",106.7,"#13,730"
63015,"38.392625, -90.748431","Catawissa, Missouri","2,201",106.54,"#13,741"
64850,"36.860355, -94.401796","Neosho, Missouri","20,932",105.26,"#13,802"
63934,"37.202796, -90.408225","Clubb, Missouri",93,103.09,"#13,892"
63628,"37.952579, -90.541765","Bonne Terre, Missouri","11,667",101.94,"#13,949"
64772,"37.825799, -94.342043","Nevada, Missouri","13,289",101.53,"#13,965"
64067,"39.154878, -93.830311","Lexington, Missouri","5,780",100.54,"#14,005"
63901,"36.772431, -90.458437","Poplar Bluff, Missouri","32,598",100.52,"#14,007"
63501,"40.158668, -92.599814","Kirksville, Missouri","21,110",100.34,"#14,015"
63389,"39.000511, -90.772845","Winfield, Missouri","4,580",100.17,"#14,021"
64153,"39.274581, -94.726643","Kansas City, Missouri","3,574",99.28,"#14,067"
63863,"36.562556, -89.968385","Malden, Missouri","6,955",97.87,"#14,157"
64468,"40.339286, -94.878816","Maryville, Missouri","14,107",96.73,"#14,228"
65020,"38.006674, -92.769102","Camdenton, Missouri","12,165",95.41,"#14,290"
63841,"36.771316, -89.984451","Dexter, Missouri","12,887",95.03,"#14,305"
65739,"36.519497, -93.267230","Ridgedale, Missouri","1,072",94.29,"#14,347"
64011,"38.968847, -94.061287","Bates City, Missouri","3,606",91.75,"#14,495"
65705,"37.029690, -93.616233","Marionville, Missouri","3,733",91.17,"#14,532"
65251,"38.851965, -91.975419","Fulton, Missouri","21,045",91.12,"#14,538"
63348,"38.785616, -90.945263","Foristell, Missouri","4,460",90.04,"#14,603"
63851,"36.245624, -89.759708","Hayti, Missouri","4,622",89.77,"#14,622"
65781,"37.355541, -93.417569","Willard, Missouri","6,300",88.2,"#14,720"
64048,"39.437763, -94.363579","Holt, Missouri","4,006",86.5,"#14,838"
65072,"38.279055, -92.715811","Rocky Mount, Missouri","1,609",84.61,"#14,961"
64079,"39.352631, -94.790537","Platte City, Missouri","8,284",84.41,"#14,975"
63023,"38.263551, -90.720393","Dittmer, Missouri","5,253",83.79,"#15,012"
64080,"38.772701, -94.260341","Pleasant Hill, Missouri","9,896",82.35,"#15,105"
65737,"36.718019, -93.357590","Reeds Spring, Missouri","6,330",82.19,"#15,119"
63390,"38.796017, -91.033070","Wright City, Missouri","6,960",81.12,"#15,191"
65026,"38.315890, -92.571504","Eldon, Missouri","12,126",78.24,"#15,377"
63770,"37.590273, -89.699656","Old Appleton, Missouri",115,77.34,"#15,455"
65613,"37.636902, -93.396427","Bolivar, Missouri","15,120",75.67,"#15,577"
63072,"38.369499, -90.817766","Robertsville, Missouri","2,915",75.59,"#15,582"
65233,"38.917096, -92.728078","Boonville, Missouri","11,138",75.28,"#15,611"
64156,"39.281657, -94.526131","Kansas City, Missouri","1,054",74.73,"#15,659"
65742,"37.129260, -93.078943","Rogersville, Missouri","8,740",74.7,"#15,661"
63369,"38.941256, -90.788192","Old Monroe, Missouri","1,978",74.56,"#15,666"
63869,"36.637460, -89.544435","New Madrid, Missouri","4,175",73.05,"#15,780"
65725,"37.429655, -93.264141","Pleasant Hope, Missouri","2,316",72.95,"#15,789"
65010,"38.793269, -92.237172","Ashland, Missouri","4,040",72.93,"#15,792"
65653,"36.784856, -93.108648","Forsyth, Missouri","4,735",72.61,"#15,819"
64076,"38.983162, -93.948056","Odessa, Missouri","8,831",72.14,"#15,852"
64429,"39.736726, -94.225807","Cameron, Missouri","11,016",72.01,"#15,865"
64686,"39.750662, -93.636341","Utica, Missouri",299,71.8,"#15,884"
